,Open,High,Low,Close,Adj Close,Volume
2021-11-01 09:30:00,1145.0,1150.0,1119.4625244140625,1135.364990234375,1135.364990234375,14824885
2021-11-01 10:30:00,1135.300048828125,1162.36474609375,1132.56005859375,1161.3751220703125,1161.3751220703125,7175951
2021-11-01 11:30:00,1161.219970703125,1175.75,1154.240234375,1170.02001953125,1170.02001953125,6567429
2021-11-01 12:30:00,1170.1690673828125,1193.489990234375,1167.050048828125,1172.4000244140625,1172.4000244140625,7126538
2021-11-01 13:30:00,1172.4000244140625,1178.97998046875,1162.2099609375,1167.06005859375,1167.06005859375,5269389
2021-11-01 14:30:00,1166.969970703125,1191.0,1166.02001953125,1191.0,1191.0,5371085
2021-11-01 15:30:00,1190.9998779296875,1209.75,1190.0,1209.469970703125,1209.469970703125,6931619
2021-11-02 09:30:00,1159.35498046875,1208.0,1146.0,1202.31005859375,1202.31005859375,20277111
2021-11-02 10:30:00,1202.43994140625,1202.449951171875,1172.800048828125,1177.6300048828125,1177.6300048828125,5021014
2021-11-02 11:30:00,1175.802001953125,1181.0,1161.0,1162.6455078125,1162.6455078125,4011854
2021-11-02 12:30:00,1162.5638427734375,1172.449951171875,1152.6600341796875,1166.0501708984375,1166.0501708984375,3864811
2021-11-02 13:30:00,1165.824951171875,1168.6800537109375,1159.0101318359375,1164.800048828125,1164.800048828125,1840610
2021-11-02 14:30:00,1164.8299560546875,1183.8798828125,1160.5,1179.7249755859375,1179.7249755859375,3826987
2021-11-02 15:30:00,1180.0,1189.2598876953125,1166.75,1171.8499755859375,1171.8499755859375,3046783
2021-11-03 09:30:00,1177.3299560546875,1190.9000244140625,1170.030029296875,1183.3299560546875,1183.3299560546875,8041885
2021-11-03 10:30:00,1182.699951171875,1184.7239990234375,1172.2801513671875,1173.4749755859375,1173.4749755859375,2548236
2021-11-03 11:30:00,1173.3199462890625,1173.800048828125,1152.6199951171875,1170.324951171875,1170.324951171875,3836632
2021-11-03 12:30:00,1170.5,1183.0,1168.0,1177.3399658203125,1177.3399658203125,3803781
2021-11-03 13:30:00,1177.3699951171875,1178.5,1165.0899658203125,1174.4949951171875,1174.4949951171875,2856812
2021-11-03 14:30:00,1174.2547607421875,1208.4898681640625,1171.0400390625,1197.949951171875,1197.949951171875,7777992
2021-11-03 15:30:00,1197.9549560546875,1215.3900146484375,1195.5,1213.68798828125,1213.68798828125,3932824
2021-11-04 09:30:00,1234.4100341796875,1242.0,1224.820068359375,1232.6964111328125,1232.6964111328125,8598134
2021-11-04 10:30:00,1232.6199951171875,1243.489990234375,1227.5,1227.5,1227.5,3846857
2021-11-04 11:30:00,1227.65869140625,1239.699951171875,1217.0,1238.780029296875,1238.780029296875,3879996
2021-11-04 12:30:00,1239.0699462890625,1241.389892578125,1231.699951171875,1235.469970703125,1235.469970703125,1960785
2021-11-04 13:30:00,1235.5799560546875,1238.760009765625,1228.0,1235.3800048828125,1235.3800048828125,2038975
2021-11-04 14:30:00,1235.6500244140625,1240.0,1227.0,1228.31005859375,1228.31005859375,2175368
2021-11-04 15:30:00,1228.5,1237.050048828125,1225.800048828125,1229.72998046875,1229.72998046875,2221688
2021-11-05 09:30:00,1228.0,1238.0,1208.0,1230.949951171875,1230.949951171875,6835874
2021-11-05 10:30:00,1231.0699462890625,1238.929931640625,1228.5350341796875,1229.2198486328125,1229.2198486328125,2512527
2021-11-05 11:30:00,1229.010009765625,1235.300048828125,1227.1883544921875,1234.25,1234.25,1479143
2021-11-05 12:30:00,1234.093505859375,1239.8699951171875,1220.0,1222.97998046875,1222.97998046875,3527066
2021-11-05 13:30:00,1222.97998046875,1231.199951171875,1222.97998046875,1229.1298828125,1229.1298828125,1685170
2021-11-05 14:30:00,1229.1199951171875,1232.239990234375,1218.5899658203125,1221.0400390625,1221.0400390625,2549845
2021-11-05 15:30:00,1221.050048828125,1225.949951171875,1216.9599609375,1221.4405517578125,1221.4405517578125,2435693
2021-11-08 09:30:00,1149.7850341796875,1197.0,1133.0,1189.2049560546875,1189.2049560546875,16338270
2021-11-08 10:30:00,1188.9300537109375,1194.0,1178.550048828125,1188.7099609375,1188.7099609375,4594510
2021-11-08 11:30:00,1188.574951171875,1190.0,1181.110107421875,1186.5,1186.5,2091728
2021-11-08 12:30:00,1186.6650390625,1194.489990234375,1185.2010498046875,1187.5999755859375,1187.5999755859375,1730535
2021-11-08 13:30:00,1187.2900390625,1189.199951171875,1179.1800537109375,1179.5595703125,1179.5595703125,2147664
2021-11-08 14:30:00,1179.530029296875,1186.0999755859375,1179.010009765625,1181.8577880859375,1181.8577880859375,1513944
2021-11-08 15:30:00,1181.6700439453125,1182.3299560546875,1160.0,1162.72998046875,1162.72998046875,3432077
2021-11-09 09:30:00,1173.5999755859375,1174.5,1032.0001220703125,1092.655029296875,1092.655029296875,20541403
2021-11-09 10:30:00,1092.6500244140625,1104.530029296875,1072.6201171875,1075.0,1075.0,5745896
2021-11-09 11:30:00,1074.8900146484375,1079.489990234375,1035.0,1049.6400146484375,1049.6400146484375,8760554
2021-11-09 12:30:00,1050.0,1052.5899658203125,1023.6400146484375,1043.8399658203125,1043.8399658203125,6710922
